"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
32,003,000515,1002,320030005151002,Block 1002,G5040,U,47995,U,S,20535,0,+36.1789414,-115.0736370
32,003,005904,1023,320030059041023,Block 1023,G5040,R,,,S,39105,0,+36.7672594,-114.1898284
32,003,005355,1028,320030053551028,Block 1028,G5040,U,47995,U,S,20781,0,+35.9964223,-115.0874502
32,003,005844,2007,320030058442007,Block 2007,G5040,U,47995,U,S,26730,0,+36.1391243,-115.3340840
32,003,002201,3015,320030022013015,Block 3015,G5040,U,47995,U,S,22147,0,+36.1337624,-115.1798033
32,003,002838,2005,320030028382005,Block 2005,G5040,U,47995,U,S,22493,0,+36.0463952,-115.1345828
32,003,003238,3019,320030032383019,Block 3019,G5040,U,47995,U,S,6411,0,+36.2299788,-115.3254495
32,003,005829,1044,320030058291044,Block 1044,G5040,U,47995,U,S,51781,0,+36.0157590,-115.2829854
32,003,005011,1013,320030050111013,Block 1013,G5040,U,47995,U,S,19787,0,+36.0936841,-115.0588270
32,003,005352,2007,320030053522007,Block 2007,G5040,U,47995,U,S,16329,0,+36.0218960,-115.0535555
32,003,000302,3006,320030003023006,Block 3006,G5040,U,47995,U,S,33823,0,+36.1832134,-115.1580432
32,003,005703,3359,320030057033359,Block 3359,G5040,R,,,S,12867,0,+35.4847901,-114.6976687
32,003,005827,1286,320030058271286,Block 1286,G5040,R,,,S,25068,0,+35.8236224,-115.4416841
32,003,005822,3005,320030058223005,Block 3005,G5040,U,47995,U,S,15831,0,+36.1605498,-115.3408987
32,003,005703,2341,320030057032341,Block 2341,G5040,R,,,S,3209450,0,+35.7071960,-114.8612468
32,003,004716,2008,320030047162008,Block 2008,G5040,U,47995,U,S,25822,0,+36.2290347,-115.0823685
32,003,005102,2001,320030051022001,Block 2001,G5040,U,47995,U,S,33616,0,+36.0632736,-115.0879843
32,003,005827,1045,320030058271045,Block 1045,G5040,R,,,S,17713,0,+36.0077102,-115.2983776
32,003,005105,1056,320030051051056,Block 1056,G5040,U,47995,U,S,18000,0,+36.0598943,-115.0508618
32,003,000514,2001,320030005142001,Block 2001,G5040,U,47995,U,S,612,0,+36.1795072,-115.0805358
32,003,002302,1026,320030023021026,Block 1026,G5040,U,47995,U,S,6360,0,+36.1259106,-115.1737619
32,003,001708,1002,320030017081002,Block 1002,G5040,U,47995,U,S,22750,0,+36.1284426,-115.1004573
32,003,003640,2006,320030036402006,Block 2006,G5040,U,47995,U,S,11200,0,+36.2325587,-115.1670041
32,003,005711,1152,320030057111152,Block 1152,G5040,U,47995,U,S,26682,0,+35.9843970,-115.0907056
32,003,002979,1048,320030029791048,Block 1048,G5040,U,47995,U,S,41426,0,+36.0599080,-115.1959044
32,003,002832,1006,320030028321006,Block 1006,G5040,U,47995,U,S,35111,0,+36.0226193,-115.1659680
32,003,002976,1009,320030029761009,Block 1009,G5040,U,47995,U,S,85004,0,+36.0624548,-115.2683070
32,003,005713,1046,320030057131046,Block 1046,G5040,U,47995,U,S,9091,0,+35.9249044,-115.0910111
32,003,005829,1047,320030058291047,Block 1047,G5040,U,47995,U,S,15036,0,+36.0162481,-115.2830269
32,003,003639,2011,320030036392011,Block 2011,G5040,U,47995,U,S,18719,0,+36.2581827,-115.1424813
32,003,002947,1025,320030029471025,Block 1025,G5040,U,47995,U,S,39124,0,+36.1376752,-115.2350299
32,003,003641,2027,320030036412027,Block 2027,G5040,U,47995,U,S,28363,0,+36.2372312,-115.1499118
32,003,005342,3001,320030053423001,Block 3001,G5040,U,47995,U,S,20943,0,+36.0003427,-114.9649521
