"BLOCKCE,C,4","BLOCKID10,C,15","POP10,N,9,0"
2071,320019505002071,14
1277,320019507001277,14
1024,320019505001024,0
3147,320019507003147,12
3037,320019507003037,0
3008,320019506003008,18
2075,320019505002075,7
4065,320019507004065,2
1072,320019507001072,0
3007,320019503023007,0
3005,320019503023005,57
1033,320019503021033,0
1077,320019503021077,0
1011,320019503021011,0
1605,320019501001605,80
2046,320019507002046,0
3008,320019507003008,3
3000,320019507003000,9
1218,320019506001218,97
1221,320019506001221,11
1219,320019506001219,32
1183,320019506001183,14
3072,320019503013072,15
1249,320019506001249,6
2047,320019507002047,0
3076,320019503013076,17
2061,320019506002061,7
1827,320019501001827,0
1005,320019506001005,0
1006,320019506001006,0
1056,320019501001056,0
1050,320019501001050,0
3020,320019506003020,0
1214,320019506001214,9
1232,320019506001232,0
1034,320019507001034,0
1233,320019506001233,185
1030,320019507001030,0
1394,320019507001394,0
1395,320019507001395,0
1195,320019507001195,2
1027,320019507001027,0
3212,320019507003212,4
2178,320019501002178,0
3010,320019503013010,15
1265,320019507001265,1
1274,320019507001274,13
2104,320019501002104,8
2180,320019501002180,0
2163,320019501002163,0
2112,320019501002112,0
2143,320019501002143,0
2115,320019501002115,0
4068,320019507004068,37
1608,320019501001608,37
1148,320019501001148,0
1088,320019505001088,24
1030,320019505001030,0
2028,320019501002028,34
1070,320019504001070,0
1121,320019507001121,0
1087,320019506001087,0
1095,320019506001095,0
1263,320019506001263,0
1085,320019506001085,0
1017,320019501001017,0
2043,320019506002043,19
2005,320019503012005,23
3010,320019503023010,65
3038,320019506003038,0
3043,320019506003043,0
5008,320019503025008,24
5026,320019503025026,2
1012,320019503011012,11
1013,320019503011013,21
2162,320019501002162,0
2086,320019501002086,0
2135,320019501002135,0
2133,320019501002133,0
2136,320019501002136,0
2126,320019501002126,0
2157,320019501002157,0
2084,320019501002084,1
1690,320019501001690,0
1689,320019501001689,0
1863,320019501001863,0
1702,320019501001702,0
1391,320019501001391,0
1381,320019501001381,0
1383,320019501001383,0
1108,320019501001108,0
1142,320019506001142,0
2001,320019505002001,0
1475,320019501001475,0
1088,320019501001088,0
1448,320019501001448,0
1460,320019501001460,0
2051,320019507002051,9
3006,320019503013006,9
3007,320019503013007,0
4018,320019503024018,10
1048,320019503011048,35
4030,320019503024030,21
1051,320019503021051,85
1020,320019503021020,38
1055,320019503021055,35
1046,320019503011046,9
1711,320019501001711,0
1721,320019501001721,0
1821,320019501001821,0
1716,320019501001716,0
1402,320019501001402,0
